title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Patatas gratinadas con nata y queso,"¿Cansado de preparar y servir las patatas siempre del mismo modo? ¡Sigue esta receta de patatas gratinadas con nata paso a paso con fotos para aprovechar la versatilidad de este tubérculo y saborearlas de una manera diferente!Las patatas gratinadas con nata y queso son ideales como entrantes o guarniciones de tus menús y perfectas para acompañar recetas de carne, pescado u otras proteínas. Además, no necesitas muchos ingredientes y el resultado es muy sofisticado y sabroso!Este gratinado de patatas con nata al horno no requiere mucho tiempo de elaboración en la cocina: basta con cortar las patatas, precocerlas y hornearlas con los respectivos ingredientes hasta que se doren. ¡El resultado son unas patatas al horno con nata y queso cremosas y muy sabrosas que seguramente van a complacer a todos en casa! Echa un vistazo al paso a paso de esta receta fácil y compruébalo.","['1\nComienza por pelar las patatas y cortarlas en rodajas de más o menos 5 mm. Entonces mételas en una olla, cúbrelas con agua, espolvorea un poco de sal y llévalas al fuego. Hierve las patatas durante 10-15 minutos y luego escurre bien el agua.\nTruco: Las patatas deben quedar blandas pero no deshacerse, ya que se terminarán de cocinar en el horno.', '2\nUnta la fuente o bandeja de horno donde quieras elaborar las patatas gratinadas con nata y queso y cubre la base con una capa de los tubérculos. Luego vierte un poco de crema de leche y queso rallado por encima y después espolvorea la sal y la pimienta molida al gusto. Repite este mismo paso hasta acabar con todos los ingredientes por capas.Si lo prefieres puedes utilizar esta receta de crema agria casera en lugar de la nata.\nTruco: Recuerde que la última capa de las patatas con nata al horno debe ser de crema de leche y queso para que no queden resecas.', '3\nCuando termines de montar la bandeja de patatas al horno con nata y queso, espolvorea el orégano, cubre la fuente con papel de aluminio y cocínalas con el horno precalentado previamente a 200 °C durante 10-15 minutos. Luego retira el papel de aluminio y sigue horneando hasta que se doren bien.', '4\nPincha las patatas gratinadas al horno con nata y queso para comprobar la consistencia: si están blandas retíralas ya del horno, pero si no, déjalas unos 5-10 minutos más.', '5\nSirve las papas gratinadas con nata mientras están aún calientes como entrante o guarnición ¡y disfruta!¿Te gustó esta receta? Te recomiendo acompañarla con unos muslos de pollo a la naranja y una tarta Mikado de postre por ejemplo para completar tu delicioso menú.']",Valoración: 4 (3 votos),2 comensales,45m,Entrante,Dificultad baja,,['Recetas al horno'],"['½ kilogramo de patatas', '1 bote de nata o crema de leche grande', '1 taza de queso rallado', '1 pizca de pimienta negra molida', '1 pizca de sal', '1 pizca de orégano']",https://www.recetasgratis.net/receta-de-patatas-gratinadas-con-nata-71698.html
¡Otra manera de comer verduras!,"Esta vez vamos a preparar con RecetasGratis unas deliciosas croquetas de espinacas y queso, otra manera de comer verdura. Si no os gustan mucho las espinacas probarlas en croquetas que quedan muy buenas.Si no sabes cómo hacer croquetas de espinacas y queso revisa este paso a paso con fotos que pongo a tu disposicicón y tenlas listas para un tapeo o para acompañar una comida porque ejemplo, ya que son una delicia. ¡Os animo aprobarlas, os gustarán!","['1\nPreparamos los ingredientes para hacer las croquetas de queso y espinacas. Picamos la cebolla muy picadita. Lavamos las espinacas.', '2\nPonemos una sartén con la mantequilla y el aceite, añadimos la cebolla y dejamos cocinar hasta que quede muy pochada.', '3\nCuando esté la cebolla dorada añadimos las espinacas y las salteamos junto con la cebolla. Seguido añadimos la harina, removemos todo y cocinamos la harina un minuto.', '4\nIremos añadiendo la leche poco a poco y removiendo.', '5\nCuando veamos que ya casi está la masa incorporamos el queso rallado. Seguimos removiendo hasta que se despegue la masa de las croquetas de espinacas y queso de la sartén. Probamos de sal y rectificamos.', '6\nSacamos la masa, la ponemos en una fuente y cuando se enfrie la meteremos a la nevera 3-4 horas. O de un día para otro.', '7\nEn un bol batimos los huevos y en otro ponemos el pan rallado. Formamos las croquetas de queso y espinacas y las pasamos por el huevo y el pan rallado.', '8\nEn una sartén con abundante aceite caliente iremos friendo las croquetas, las doramos y sacamos. Hasta que estén todas listas.', '9\nServimos las croquetas de espinacas y queso como entrante, aperitivos o tapas.Os recomiendo mis recetas de empanadillas de carne al horno o de rollitos de salmón ahumado rellenos de ensaladilla. Y si no os convencen estas podéis encontrar muchísimas más en mi blog Cocinando con Montse.\nTruco: Se pueden congelar y tener siempre a mano.']",Valoración: 4 (4 votos),4 comensales,45m,Entrante,Dificultad media,,['Recomendada para vegetarianos'],"['200 gramos de espinacas', '1 cebolla', '50 gramos de queso rallado', '2 cucharadas soperas de mantequilla', '2 cucharadas soperas de aceite de oliva', '3 cucharadas soperas de harina', '500 mililitros de leche', '1 pizca de sal', '1 paquete de pan rallado', '2 huevos']",https://www.recetasgratis.net/receta-de-croquetas-de-espinacas-y-queso-71639.html
"¡FÁCILES, deliciosas y saludables!","La temporada de la alcachofa suele empezar en octubre-noviembre y finalizar en marzo-abril, pudiéndose alargar hasta junio. Si adquirimos este producto durante este periodo de tiempo nos aseguramos de obtenerlo al mejor precio y con mucha más calidad, por lo que es habitual que aprovechemos estos meses para preparar recetas con alcachofas como esta.La alcachofa es rica en fibra, minerales y otros compuestos que favorecen el tránsito intestinal, la quema de grasa y proporciona propiedades antioxidantes. Por ello, consumir alcachofas y agua de alcachofa es más que beneficioso para el organismo. Sin embargo, no todas las recetas nos permiten aprovechar su valor nutricional, de manera que lo más aconsejado es tomar este alimento hervido, cocinado a la plancha o al horno sin nada. En esta ocasión, desde RecetasGratis te proponemos añadir ajo y perejil, que potencian sus beneficios e incrementan su sabor. Sigue leyendo para saber cómo hacer alcachofas hervidas con ajo y perejil.","['1\nLo primero que debemos hacer es limpiar bien las alcachofas y retirar las hojas exteriores hasta quedarnos con los corazones. Si lo prefieres, también puedes hacer las alcachofas hervidas con ajo y perejil enteras.', '2\nLuego, hervimos las alcachofas en una olla con agua abundante. Si queremos reservar el agua de alcachofa obtenida para tomarla y aprovechar todas sus propiedades, recomendamos añadir un par de rodajas de limón o el zumo de medio limón. Si no vamos a tomar el agua, podemos agregar una pizca de sal y aceite de oliva.', '3\nEl tiempo de cocción de las alcachofas hervidas dependerá del tipo de olla que usemos. Si las cocinamos en olla rápida, con 15 minutos será suficiente, mientras que si usamos una olla convencional tendremos que esperar unos 25-30 minutos. Las pasamos por agua fría para evitar que se sigan cocinando y colamos el agua de alcachofa si vamos a tomarla.\nTruco: Tapa ligeramente la olla, dejando un pequeño hueco para que salga el aire, y las alcachofas se cocinarán más rápido.', '4\nCortamos las alcachofas hervidas en láminas del grosor deseado o por la mitad. Aparte, pelamos y picamos los ajos, y los salteamos en una sartén o plancha con un chorrito de aceite caliente.', '5\nRetiramos los ajos y cocinamos las alcachofas hervidas a la plancha. De esta forma, el aceite ha tomado el aroma del ajo y las alcachofas tiene todavía más sabor.', '6\nMientras se cocinan, mezclamos los ajos salteados con el perejil picado y el aceite de oliva. Esto es lo que usaremos para condimentar las alcachofas una vez listas.', '7\nColocamos las alcachofas en los platos y condimentamos con la mezcla de ajo y perejil anterior. ¡Listo! Así de fácil es la receta de alcachofas hervidas con ajo y perejil, ideal para cenar o para acompañar otros platos más fuertes, como pollo al horno, pescado al horno o hamburguesas de berenjenas, por ejemplo.']","Valoración: 3,5 (30 votos)",4 comensales,30m,Cena,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Recomendada para perder peso']","['15 alcachofas medianas', '4 dientes de ajo', '2 cucharadas soperas de perejil picado', '1 chorro de aceite']",https://www.recetasgratis.net/receta-de-alcachofas-con-ajo-y-perejil-14226.html
"+30 recetas con berenjenas fáciles para niños, sanas, rápidas y económicas 🍆","La berenjena, al igual que el calabacín, contiene abundante cantidad de agua, además de valiosos antioxidantes y poderosas cualidades adelgazantes. Las dietas que agregan este ingrediente resultan más saludables y beneficiosas para la figura debido a su bajo porcentaje de calorías y grandes aportes nutricionales. Esta hortaliza de origen oriental es muy utilizada en la cocina mediterránea, donde existe gran variedad de exquisitas recetas. Sin embargo, el uso de la berenjena es internacional, por lo cual cada cultura aporta alguna preparación adaptada a su propia experiencia culinaria.Las berenjenas son muy sabrosas y versátiles. En la cocina pueden utilizarse como relleno de tartas, agregarlas a tortillas, hacerlas en escabeche, gratinadas, como reemplazo de la carne, como sustituto de la pasta, como complemento de guisos, en paté vegetal, fritas, salteada con vegetales, en sopas, salsas y de otras muchas formas. ¡Será por opciones! Este vegetal es una excelente opción para personas vegetarianas, intolerantes o alérgicos al gluten, siguiendo alguna dieta adelgazante o cualquiera que opte por comer más saludable. No obstante, la cosa se complica cuando intentamos agregarlas a la dieta de los más pequeños, ¿cierto? En general, los niños y niñas rechazan consumir este tipo de vegetales y, por ello, debemos ser ingeniosos y creativos.Por este motivo, en RecetasGratis traemos para ti una selección muy especial de preparaciones fáciles y sabrosas con berenjena. Sigue leyendo y descubre nuestras mejores recetas de berenjena para niños.",[],Valoración: 5 (1 voto),,,,,,,,https://www.recetasgratis.net/articulo-40-recetas-con-berenjenas-faciles-para-ninos-71299.html
Pimientos asados al microondas,"Consigue ahorrar tiempo y ensuciar mucho menos cocinando los pimientos asados al microondas gracias a esta receta fácil que te enseñamos en RecetasGratis. Verás que yo he utilizado un pimiento rojo y otro amarillo pero puedes usar verdes también. Al final da igual el color de la verduras porque lo que importa es que los pimientos al microondas sean bien carnosos y grandes, cosa que después facilitará el pelado.Si quieres aprender cómo hacer pimientos asados en microondas sigue estos pasos tan sencillos y ¡a comer!","['1\nReúne los ingredientes para empezar a asar los pimientos en el microondas. Después lava las verduras muy bien bajo el grifo y escúrrelas y seca bien.\nTruco: Cuanto más grandes y carnosos sean los pimientos mejor se pelarán una vez asados.', '2\nEn una ensalada, fuente o recipiente apto para microondas coloca los pimientos (los 2 si caben) y tápalos con film , una tapa de silicona o de vidrio , o con un plato un poco más grande que el recipiente y programa el microondas a máxima potencia durante 8-10 minutos.\nTruco: Si lo prefieres puedes hacer los pimiento asados al microondas de uno en uno pero tardarás más tiempo al final.', '3\nPasado este tiempo, dale la vuelta a los pimientos asados con cuidado de no quemarte y vuélvelos a programar 8-10 minutos más.', '4\nDespués de los 20 minutos seguramente no estén asados del toso si has colocado los 2 pimientos a la vez (si has colocado uno solo seguro que ya está) así que, vuelve a darles la vuelta y sigue asando los pimientos al microondas durante unos 5 minutos más o hasta que veas que se les ha arrugado la piel por todas partes, ese el el punto en que ya estarán bien hechos.', '5\nUna vez hechos del todo, deja que los pimientos asados se enfríen directamente en el microondas sin retirarlos para que suden y así se acabe de despegar bien toda la piel de la carne de la verdura.\nTruco: A la hora de servir, una vez que estén fríos puedes pelarlos o no (yo prefiero no pelarlos).', '6\nPrepara el aliño de la ensalada de pimientos asados en microondas mezclando en un bol todos los ingredientes al gusto.', '7\nCuando se hayan enfriado, pela los pimientos al microondas si quieres, quíatles el pedúnculo y las pepitas del interior y luego córtalos en tiras más o menos gruesas.', '8\nVierte el aliño por encima y sirve los pimientos asados al microondas con la vinagreta. Puedes probar esta otra receta de vinagreta dulce para innovar en al cocina con algo diferente o hacer muchas otras preparaciones con este electrodoméstico como la calabaza al microondas o incluso una clásica omelette al microondas. ¿Mucho más sencillo verdad?Esta ensalada de pimientos al microondas está buenísima si la pones encima de una tostada de pan casero con harina integral por ejemplo o simplemente sirviéndola como entrante o guarnición de otro platos. ¡Combina con todo!']","Valoración: 4,3 (4 votos)",2 comensales,30m,Entrante,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Recomendada para perder peso', 'Recetas al microondas']","['2 pimientos (rojo y amarillo de unos 400 gramos cada 1)', '1 chorro de aceite de oliva virgen extra', '1 chorro de vinagre blanco o de manzana', '1 pizca de sal', '2 dientes de ajo picados', '1 pizca de perejil picado (seco o fresco)']",https://www.recetasgratis.net/receta-de-pimientos-asados-al-microondas-71595.html
Canelones de calabacín y pollo,Si quieres aprender cómo hacer unos canelones de calabacín y pollo fáciles y riquísimos sigue las instrucionnes que te enseñamos en RecetasGratis a continuación y verás cómo son muy sencillos de elaborar. Estos canelones de calabacín y pollo son ideales en dietas bajas en carbohidratos y simplemente a la hora de comer más verduras en casa ya que no llevan ningún tipo de harina ni de pasta. ¡Pruébalos y dinos qué te han parecido en los comentarios!,"['1\nTroceamos la pechuga y salpimentamos, le añadimos el ajo machacado y la mitad del curry, y lo reservamos.', '2\nPicar la cebolla, y rehogar en la sartén. Cuando coge color incorporar el pollo y freír todo, agregamos la nata y el resto del curry, y una vez espese la salsa dejar atemperar.', '3\nCon un pelador cortamos láminas de calabacín, ponemos papel film en la mesa y tres láminas de calabacín juntas. Rellenar como se ve en la imagen y enrollar los canelones d ecalabacín y pollo con la ayuda del papel film. Reserva en la nevera hasta el momento de hornear.', '4\nEspolvoreamos el queso rallado y unas gotitas de nata por encima y horneamos los canelones de calabacín y pollo a 240 grados unos 10 minutos. ¡Y listos para comer!No te pierdas estos otros canelones de calabacín rellenos de setas o estos otros canelones de verduras y gambas para probar en diferentes días.']","Valoración: 4,5 (6 votos)",2 comensales,45m,Entrante,Dificultad baja,,['Recetas al horno'],"['2 filetes de pechuga de pollo', '2 calabacines', '1 cebolla', '1 diente de ajo', '1 cucharada de curry', '200 ml de nata para cocinar', 'Queso para rallar']",https://www.recetasgratis.net/receta-de-canelones-de-calabacin-y-pollo-71593.html
¡Más ligera y muy crujiente!,"Incluso si la berenjena es tu vegetal favorito, apuesto a que no has probado esta receta de berenjena rebozada al horno. Comprueba como queda un plato más ligero que al freír con todo el sabor de la berenjena y además, de los ingredientes que se utilizan para rebozarla que al final van un poco a tu gusto.El resultado son unas berenjenas rebozadas crujientes al horno fáciles, rápidas y perfectas para servir como un aperitivo, entrante o acompañamiento de otras comidas. Consulta el paso a paso que te mostramos en RecetasGratis para saber cómo hacer berenjena empanada al horno con queso, pan rallado, harina pero sin huevo, y sorprende a todos comensales.","['1\nComienza por lavar la berenjena y cortarla en láminas o en rodajas de 5 mm de grosor aproximadamente. Entonces colócala en un bol con agua y la mitad de la sal y déjala reposar durante 10-15 minutos. Esto hará que la berenjena empanizada al horno no tenga sabor amargo.\nTruco: Utiliza un cuchillo de acero inoxidable o de cerámica para cortar la berenjena, así evitarás que se ponga oscura.', '2\nEn un recipiente aparte mezcla todos los ingredientes restantes que utilizaremos para empanar y cocinar estas berenjenas rebozadas crujientes al horno.\nTruco: El queso rallado es opcional así que depende de ti si lo quieres utilizar.', '3\nSin secar las verduras reboza cada trozo con los ingredientes secos, presionando un poco para que se peguen bien. Entonces colócalas en una bandeja, vierte un chorrito de aceite fino por encima, y lleva las berenjenas rebozadas al horno (precalentado a 220 °C) durante unos 20 minutos.\nTruco: Ten cuidado con la cantidad de aceite de oliva que echas ya que si te pasas, puede que las berenjenas empanizadas queden blandas y grasosas en lugar de crujientes.', '4\nPincha la berenjena rebozada al horno con queso con un tenedor y cuando veas que está crujiente y dorada, ya podrás sacarla y servirla a tu gusto como entrante, aperitivo o como guarnición de otros platos como por ejemplo, una tortilla de calabacín y cebolla o un pescado con cebolla y pimientos.']",Valoración: 2 (2 votos),2 comensales,30m,Entrante,Dificultad baja,,['Recetas al horno'],"['1 berenjena', '½ taza de pan rallado', '⅓ taza de harina de trigo', '⅓ taza de queso rallado (opcional)', '1 cucharada postre de orégano', '1 cucharada postre de pimienta negra', '2 cucharadas de postre de sal (cucharadas rasas)', '1 chorro de aceite de oliva']",https://www.recetasgratis.net/receta-de-berenjena-rebozada-al-horno-71509.html
Brócoli y coliflor gratinados,"¿Buscando una manera sabrosa para variar en la preparación de la coliflor y el brócoli cocidos? ¡Comprueba esta sugerencia del RecetasGratis! Te enseñamos cómo preparar el brócoli y la coliflor gratinados en el horno con nata y queso rallado. Una deliciosa combinación para aumentar el consumo de verduras de toda la familia con poco esfuerzo. Basta con cocinarlas, mezclarlas con la salsa cremosa y llevar el brócoli y la coliflor al horno hasta que se doren. ¡Así de simple! Echa un vistazo a todos los detalles de esta receta de coliflor y brócoli gratinados y descubre todo su delicioso sabor.","['1\nLava las verduras y córtalas en pedazos de aproximadamente el mismo tamaño. Así la coliflor y el brócoli gratinados se cocinarán uniformemente.', '2\nColoca una olla con agua y un poco de sal al fuego y cuando llegue a ebullición agrega la coliflor y deja que hierva durante 5 minutos. En ese momento agrega el brócoli y cocina por otros 5 minutos.\nTruco: Es importante cocinar la coliflor primero porque es más dura que el brócoli, así garantizamos que ninguna de las verduras se pasa del punto.', '3\nAparte prepara la salsa para gratinar el brócoli y la coliflor al horno: mezcla la crema de leche con un poco de queso rallado y el comino.\nTruco: Puedes agregar otras especies o hierbas aromáticas de tu preferencia.', '4\nCuando el brócoli y la coliflor estén cocinados pero al dente, apaga el fuego, escurre el agua de la olla y colócalos en una bandeja para hornear. Agrega la salsa, mezcla con cuidado y cubre con el queso rallado restante.', '5\nLleva la coliflor y el brócoli al horno a 200 ºC y déjalos durante 10-15 minutos o hasta que estén dorados. Ya tienes listo tu plato de brócoli y coliflor gratinados para servirlos como entrante o como guarnición de otros como por ejemplo, unos muslos de pavo al horno jugoso o una tortilla de bacalao y pimiento verde.']",,2 comensales,30m,Entrante,Dificultad baja,,['Recetas al horno'],"['½ coliflor', '½ brócoli', '1 crema de leche o nata líquida', '1 taza de queso rallado', '1 cucharadita de comino molido (opcional)', 'pimienta negra', 'orégano', 'sal']",https://www.recetasgratis.net/receta-de-brocoli-y-coliflor-gratinados-71508.html
Llapingachos ecuatorianos,"No te puedes perder estos llapingachos ecuatorianos que te enseñamos a hacer en RecetasGratis, más conocidos como tortillas de papa de Ecuador que van rellenas de queso y se pueden acompañar de varios ingredientes. En este caso, vamos a preparar una llapingachos con chorizo deliciosos paso a paso, así que sigue leyendo esta receta fácil y descubre cómo hacer de forma práctica.","['1\nPela las papas y ponlas a cocinar en una olla con agua y sal al gusto.', '2\nPelas las zanahorias y remolachas y ponlas a cocinar en otra olla con agua hasta que estén suaves', '3\nMientras se cocinan esos ingredientes de los llapingachos con chorizo ralla el queso.', '4\nCuando las papas estén listas, aplástalas o machácalas con un tenedor.', '5\nHaz bolas con el puré de papas y rellénalas con queso, entonces cierra con tus manos la tortilla y aplástalas un poco para que sean planas.', '6\nCalienta el aceite en una plancha y pon las tortillas de papa rellenas de queso a freír.', '7\nCorta las zanahorias en juliana y agrega aceite de oliva, limón y sal al gusto.', '8\nCorta las remolachas en rodajas y añade una cucharilla de mayonesa o yogurth natural.Si lo prefieres puede preparar tú mismo la salsa mayonesa casera para los llapingachos.', '9\nPon el chorizo en un sartén sin aceite y fríelo bien.', '10\nSirva el plato de llapingachos ecuatorianos decorado. ¡Esperamos que te gusten estas tortillas de papa de Ecuador igual que a nosotros!']",,2 comensales,1h 30m,Plato principal,Dificultad baja,,[],"['4 papas medianas', '3 zanahorias', '2 remolachas', 'Queso', 'Chorizo', 'Limón', 'Aceite de oliva', 'Cilantro', 'Sal']",https://www.recetasgratis.net/receta-de-llapingachos-ecuatorianos-65786.html
Timbal de puré de patatas,Si quieres preparar este timbal de puré de patatas sigue el paso a paso que Paloma-blopez ha compartido desde la app de RecetasGratis para que podamos elaborar este exquisito timbal de puré de patatas al horno con queso gratinado fácil y rápidamente. Te aseguramos que tanto su sabor como si textura son deliciosos y valen la pena así que ¡anímate y pruébalo!,"['1\nPara hacer el puré: cocer las patatas y machacar con un tenedor.', '2\nEn una sarten con un chorrito de aceite poner las patatas machacadas junto con la leche, un poco de pimienta, nuez moscada y sal y remover todo (si te gusta más suelto el puré añadir un poco de agua de la cocción de las patatas o un poco mas de leche, esto ya al gusto).No te pierdas esta receta de puré de patatas light muy rápido de hacer  si prefieres que sea más ligero.', '3\nPara el relleno del timbal de puré de patatas: en una sartén sofreír la media cebolla en juliana y cuando esté pochadita añadimos la carne y sofreímos bien, apartamos y reservamos.', '4\nSofreír un poco el beicon, apartar y reservar.', '5\nComenzamos a montar: con un aro metálico ponemos una base de puré de patatas con unos pellizquitos de jamón serrano y encima otro poquito de puré.', '6\nPonemos encima una capa de carne.', '7\nY a continuación tapamos con queso en lonchas y beicon.', '8\nTerminamos cubriendo el timbal con una capa generosa de puré de patatas.', '9\nRetiramos el aro metálico con cuidado y cubrimos con queso rallado. metemos el timabla de puré de patatas al horno o al microondas para que se derrita y gratine el queso y listo para comer.', '10\nSirve el timbal de puré de patatas gratinado recién hecho. De postre te proponemos un arroz con leche y mantequilla por ejemplo. ¡Qué aproveche!']","Valoración: 4,5 (2 votos)",2 comensales,45m,Plato principal,Dificultad baja,,['Recetas españolas'],"['1 kg de patatas', '200 mililitros de leche', '350 gramos de carne picada', 'Beicon en taquitos', 'Queso en lonchas', 'Jamón serrano picadito', 'Queso rallado', 'Aceite de oliva', 'Sal', 'Pimienta', 'Nuez moscada', '1/2 cebolla']",https://www.recetasgratis.net/receta-de-timbal-de-pure-de-patatas-65577.html
